ADC Value,Rs (kOhms),Concentration (ppm)
145,272.41,7.06
140,282.50,6.51
141,280.43,6.62
141,280.43,6.62
139,284.60,6.41
136,291.10,6.10
134,295.60,5.89
146,270.48,7.17
140,282.50,6.51
141,280.43,6.62
139,284.60,6.41
140,282.50,6.51
140,282.50,6.51
140,282.50,6.51
139,284.60,6.41
141,280.43,6.62
139,284.60,6.41
139,284.60,6.41
138,286.74,6.30
149,264.83,7.51
136,291.10,6.10
135,293.33,5.99
135,293.33,5.99
137,288.91,6.20
140,282.50,6.51
148,266.69,7.40
134,295.60,5.89
136,291.10,6.10
136,291.10,6.10
139,284.60,6.41
138,286.74,6.30
134,295.60,5.89
138,286.74,6.30
136,291.10,6.10
132,300.23,5.69
140,282.50,6.51
148,266.69,7.40
146,270.48,7.17
139,284.60,6.41
138,286.74,6.30
142,278.38,6.73
134,295.60,5.89
140,282.50,6.51
141,280.43,6.62
148,266.69,7.40
139,284.60,6.41
140,282.50,6.51
140,282.50,6.51
140,282.50,6.51
139,284.60,6.41
140,282.50,6.51
148,266.69,7.40
140,282.50,6.51
140,282.50,6.51
141,280.43,6.62
137,288.91,6.20
138,286.74,6.30
141,280.43,6.62
139,284.60,6.41
139,284.60,6.41
135,293.33,5.99
137,288.91,6.20
140,282.50,6.51
138,286.74,6.30
137,288.91,6.20
133,297.89,5.79
139,284.60,6.41
141,280.43,6.62
139,284.60,6.41
136,291.10,6.10
139,284.60,6.41
134,295.60,5.89
138,286.74,6.30
136,291.10,6.10
138,286.74,6.30
142,278.38,6.73
140,282.50,6.51
134,295.60,5.89
139,284.60,6.41
137,288.91,6.20
139,284.60,6.41
138,286.74,6.30
140,282.50,6.51
148,266.69,7.40
134,295.60,5.89
140,282.50,6.51
145,272.41,7.06
141,280.43,6.62
137,288.91,6.20
138,286.74,6.30
136,291.10,6.10
137,288.91,6.20
136,291.10,6.10
135,293.33,5.99
146,270.48,7.17
138,286.74,6.30
139,284.60,6.41
148,266.69,7.40
140,282.50,6.51
140,282.50,6.51
136,291.10,6.10
136,291.10,6.10
142,278.38,6.73
135,293.33,5.99
139,284.60,6.41
138,286.74,6.30
140,282.50,6.51
136,291.10,6.10
140,282.50,6.51
140,282.50,6.51
139,284.60,6.41
138,286.74,6.30
134,295.60,5.89
139,284.60,6.41
140,282.50,6.51
137,288.91,6.20
140,282.50,6.51
141,280.43,6.62
136,291.10,6.10
146,270.48,7.17
134,295.60,5.89
143,276.36,6.84
139,284.60,6.41
151,261.19,7.75
135,293.33,5.99
136,291.10,6.10
139,284.60,6.41
146,270.48,7.17
134,295.60,5.89
141,280.43,6.62
136,291.10,6.10
140,282.50,6.51
128,309.92,5.31
141,280.43,6.62
137,288.91,6.20
137,288.91,6.20
139,284.60,6.41
143,276.36,6.84
140,282.50,6.51
138,286.74,6.30
135,293.33,5.99
133,297.89,5.79
140,282.50,6.51
137,288.91,6.20
138,286.74,6.30
135,293.33,5.99
138,286.74,6.30
139,284.60,6.41
138,286.74,6.30
136,291.10,6.10
133,297.89,5.79
138,286.74,6.30
140,282.50,6.51
139,284.60,6.41
137,288.91,6.20
138,286.74,6.30
139,284.60,6.41
138,286.74,6.30
139,284.60,6.41
138,286.74,6.30
128,309.92,5.31
146,270.48,7.17
138,286.74,6.30
135,293.33,5.99
139,284.60,6.41
137,288.91,6.20
138,286.74,6.30
138,286.74,6.30
134,295.60,5.89
140,282.50,6.51
137,288.91,6.20
140,282.50,6.51
138,286.74,6.30
140,282.50,6.51
143,276.36,6.84
149,264.83,7.51
138,286.74,6.30
135,293.33,5.99
137,288.91,6.20
139,284.60,6.41
137,288.91,6.20
139,284.60,6.41
135,293.33,5.99
139,284.60,6.41
135,293.33,5.99
134,295.60,5.89
138,286.74,6.30
139,284.60,6.41
134,295.60,5.89
136,291.10,6.10
137,288.91,6.20
141,280.43,6.62
139,284.60,6.41
137,288.91,6.20
129,307.44,5.40
140,282.50,6.51
145,272.41,7.06
133,297.89,5.79
140,282.50,6.51
140,282.50,6.51
134,295.60,5.89
138,286.74,6.30
138,286.74,6.30
138,286.74,6.30
144,274.38,6.95
144,274.38,6.95
138,286.74,6.30
141,280.43,6.62
140,282.50,6.51
134,295.60,5.89
140,282.50,6.51
138,286.74,6.30
134,295.60,5.89
138,286.74,6.30
139,284.60,6.41
136,291.10,6.10
133,297.89,5.79
138,286.74,6.30
138,286.74,6.30
138,286.74,6.30
140,282.50,6.51
138,286.74,6.30
139,284.60,6.41
134,295.60,5.89
136,291.10,6.10
132,300.23,5.69
141,280.43,6.62
138,286.74,6.30
137,288.91,6.20
138,286.74,6.30
139,284.60,6.41
137,288.91,6.20
138,286.74,6.30
152,259.41,7.87
133,297.89,5.79
137,288.91,6.20
133,297.89,5.79
138,286.74,6.30
136,291.10,6.10
139,284.60,6.41
139,284.60,6.41
140,282.50,6.51
139,284.60,6.41
144,274.38,6.95
140,282.50,6.51
139,284.60,6.41
138,286.74,6.30
138,286.74,6.30
135,293.33,5.99
137,288.91,6.20
134,295.60,5.89
137,288.91,6.20
137,288.91,6.20
148,266.69,7.40
137,288.91,6.20
139,284.60,6.41
134,295.60,5.89
138,286.74,6.30
139,284.60,6.41
136,291.10,6.10
134,295.60,5.89
140,282.50,6.51
146,270.48,7.17
137,288.91,6.20
133,297.89,5.79
137,288.91,6.20
140,282.50,6.51
138,286.74,6.30
139,284.60,6.41
138,286.74,6.30
136,291.10,6.10
137,288.91,6.20
140,282.50,6.51
145,272.41,7.06
137,288.91,6.20
128,309.92,5.31
140,282.50,6.51
135,293.33,5.99
143,276.36,6.84
136,291.10,6.10
140,282.50,6.51
137,288.91,6.20
134,295.60,5.89
134,295.60,5.89
144,274.38,6.95
136,291.10,6.10
138,286.74,6.30
137,288.91,6.20
145,272.41,7.06
139,284.60,6.41
137,288.91,6.20
132,300.23,5.69
140,282.50,6.51
138,286.74,6.30
139,284.60,6.41
134,295.60,5.89
139,284.60,6.41
138,286.74,6.30
133,297.89,5.79
138,286.74,6.30
133,297.89,5.79
137,288.91,6.20
135,293.33,5.99
132,300.23,5.69
138,286.74,6.30
138,286.74,6.30
140,282.50,6.51
141,280.43,6.62
141,280.43,6.62
139,284.60,6.41
137,288.91,6.20
133,297.89,5.79
138,286.74,6.30
140,282.50,6.51
134,295.60,5.89
141,280.43,6.62
138,286.74,6.30
138,286.74,6.30
138,286.74,6.30
140,282.50,6.51
137,288.91,6.20
138,286.74,6.30
135,293.33,5.99
138,286.74,6.30
138,286.74,6.30
138,286.74,6.30
133,297.89,5.79
138,286.74,6.30
144,274.38,6.95
139,284.60,6.41
139,284.60,6.41
133,297.89,5.79
138,286.74,6.30
132,300.23,5.69
140,282.50,6.51
140,282.50,6.51
136,291.10,6.10
139,284.60,6.41
133,297.89,5.79
140,282.50,6.51
138,286.74,6.30
121,328.43,4.67
141,280.43,6.62
137,288.91,6.20
133,297.89,5.79
134,295.60,5.89
140,282.50,6.51
146,270.48,7.17
141,280.43,6.62
137,288.91,6.20
134,295.60,5.89
137,288.91,6.20
137,288.91,6.20
134,295.60,5.89
133,297.89,5.79
137,288.91,6.20
136,291.10,6.10
138,286.74,6.30
140,282.50,6.51
139,284.60,6.41
137,288.91,6.20
132,300.23,5.69
134,295.60,5.89
136,291.10,6.10
135,293.33,5.99
136,291.10,6.10
137,288.91,6.20
140,282.50,6.51
137,288.91,6.20
133,297.89,5.79
134,295.60,5.89
140,282.50,6.51
134,295.60,5.89
144,274.38,6.95
137,288.91,6.20
139,284.60,6.41
132,300.23,5.69
134,295.60,5.89
146,270.48,7.17
136,291.10,6.10
139,284.60,6.41
138,286.74,6.30
146,270.48,7.17
137,288.91,6.20
137,288.91,6.20
141,280.43,6.62
134,295.60,5.89
140,282.50,6.51
145,272.41,7.06
133,297.89,5.79
140,282.50,6.51
137,288.91,6.20
140,282.50,6.51
139,284.60,6.41
137,288.91,6.20
137,288.91,6.20
140,282.50,6.51
139,284.60,6.41
138,286.74,6.30
138,286.74,6.30
137,288.91,6.20
134,295.60,5.89
138,286.74,6.30
140,282.50,6.51
137,288.91,6.20
132,300.23,5.69
140,282.50,6.51
136,291.10,6.10
139,284.60,6.41
133,297.89,5.79
138,286.74,6.30
134,295.60,5.89
136,291.10,6.10
136,291.10,6.10
139,284.60,6.41
138,286.74,6.30
136,291.10,6.10
140,282.50,6.51
138,286.74,6.30
134,295.60,5.89
137,288.91,6.20
141,280.43,6.62
145,272.41,7.06
137,288.91,6.20
134,295.60,5.89
149,264.83,7.51
133,297.89,5.79
137,288.91,6.20
137,288.91,6.20
133,297.89,5.79
138,286.74,6.30
138,286.74,6.30
137,288.91,6.20
137,288.91,6.20
137,288.91,6.20
136,291.10,6.10
136,291.10,6.10
137,288.91,6.20
132,300.23,5.69
137,288.91,6.20
139,284.60,6.41
138,286.74,6.30
136,291.10,6.10
135,293.33,5.99
138,286.74,6.30
133,297.89,5.79
139,284.60,6.41
137,288.91,6.20
133,297.89,5.79
136,291.10,6.10
137,288.91,6.20
135,293.33,5.99
137,288.91,6.20
136,291.10,6.10
139,284.60,6.41
135,293.33,5.99
136,291.10,6.10
139,284.60,6.41
136,291.10,6.10
137,288.91,6.20
137,288.91,6.20
146,270.48,7.17
144,274.38,6.95
136,291.10,6.10
138,286.74,6.30
136,291.10,6.10
138,286.74,6.30
135,293.33,5.99
132,300.23,5.69
137,288.91,6.20
139,284.60,6.41
138,286.74,6.30
139,284.60,6.41
132,300.23,5.69
137,288.91,6.20
139,284.60,6.41
134,295.60,5.89
137,288.91,6.20
130,305.00,5.50
136,291.10,6.10
133,297.89,5.79
138,286.74,6.30
139,284.60,6.41
137,288.91,6.20
136,291.10,6.10
133,297.89,5.79
138,286.74,6.30
135,293.33,5.99
137,288.91,6.20
137,288.91,6.20
141,280.43,6.62
134,295.60,5.89
136,291.10,6.10
128,309.92,5.31
133,297.89,5.79
139,284.60,6.41
144,274.38,6.95
138,286.74,6.30
138,286.74,6.30
138,286.74,6.30
134,295.60,5.89
138,286.74,6.30
137,288.91,6.20
134,295.60,5.89
140,282.50,6.51
134,295.60,5.89
137,288.91,6.20
136,291.10,6.10
138,286.74,6.30
132,300.23,5.69
134,295.60,5.89
137,288.91,6.20
136,291.10,6.10
137,288.91,6.20
138,286.74,6.30
133,297.89,5.79
136,291.10,6.10
133,297.89,5.79
137,288.91,6.20
133,297.89,5.79
137,288.91,6.20
137,288.91,6.20
138,286.74,6.30
138,286.74,6.30
135,293.33,5.99
137,288.91,6.20
141,280.43,6.62
141,280.43,6.62
140,282.50,6.51
145,272.41,7.06
136,291.10,6.10
138,286.74,6.30
133,297.89,5.79
136,291.10,6.10
136,291.10,6.10
137,288.91,6.20
133,297.89,5.79
138,286.74,6.30
145,272.41,7.06
137,288.91,6.20
137,288.91,6.20
136,291.10,6.10
136,291.10,6.10
137,288.91,6.20
136,291.10,6.10
139,284.60,6.41
137,288.91,6.20
137,288.91,6.20
138,286.74,6.30
132,300.23,5.69
136,291.10,6.10
136,291.10,6.10
139,284.60,6.41
134,295.60,5.89
136,291.10,6.10
137,288.91,6.20
137,288.91,6.20
140,282.50,6.51
140,282.50,6.51
133,297.89,5.79
133,297.89,5.79
137,288.91,6.20
136,291.10,6.10
131,302.60,5.60
136,291.10,6.10
142,278.38,6.73
130,305.00,5.50
135,293.33,5.99
138,286.74,6.30
137,288.91,6.20
138,286.74,6.30
134,295.60,5.89
132,300.23,5.69
137,288.91,6.20
138,286.74,6.30
139,284.60,6.41
137,288.91,6.20
129,307.44,5.40
132,300.23,5.69
138,286.74,6.30
137,288.91,6.20
137,288.91,6.20
137,288.91,6.20
137,288.91,6.20
136,291.10,6.10
139,284.60,6.41
133,297.89,5.79
137,288.91,6.20
134,295.60,5.89
145,272.41,7.06
137,288.91,6.20
137,288.91,6.20
138,286.74,6.30
136,291.10,6.10
145,272.41,7.06
137,288.91,6.20
137,288.91,6.20
146,270.48,7.17
137,288.91,6.20
132,300.23,5.69
145,272.41,7.06
138,286.74,6.30
133,297.89,5.79
137,288.91,6.20
133,297.89,5.79
144,274.38,6.95
136,291.10,6.10
136,291.10,6.10
132,300.23,5.69
136,291.10,6.10
136,291.10,6.10
136,291.10,6.10
139,284.60,6.41
136,291.10,6.10
139,284.60,6.41
136,291.10,6.10
133,297.89,5.79
139,284.60,6.41
138,286.74,6.30
138,286.74,6.30
132,300.23,5.69
139,284.60,6.41
137,288.91,6.20
134,295.60,5.89
136,291.10,6.10
136,291.10,6.10
137,288.91,6.20
137,288.91,6.20
137,288.91,6.20
135,293.33,5.99
133,297.89,5.79
136,291.10,6.10
136,291.10,6.10
131,302.60,5.60
137,288.91,6.20
141,280.43,6.62
131,302.60,5.60
137,288.91,6.20
145,272.41,7.06
136,291.10,6.10
132,300.23,5.69
132,300.23,5.69
137,288.91,6.20
137,288.91,6.20
138,286.74,6.30
136,291.10,6.10
137,288.91,6.20
132,300.23,5.69
132,300.23,5.69
136,291.10,6.10
138,286.74,6.30
132,300.23,5.69
136,291.10,6.10
138,286.74,6.30
137,288.91,6.20
144,274.38,6.95
136,291.10,6.10
138,286.74,6.30
137,288.91,6.20
138,286.74,6.30
132,300.23,5.69
137,288.91,6.20
137,288.91,6.20
138,286.74,6.30
137,288.91,6.20
137,288.91,6.20
160,245.94,8.85
172,228.08,10.46
164,239.70,9.37
161,244.35,8.98
164,239.70,9.37
158,249.18,8.60
155,254.19,8.23
163,241.23,9.24
162,242.78,9.11
158,249.18,8.60
157,250.83,8.47
160,245.94,8.85
160,245.94,8.85
153,257.65,7.99
160,245.94,8.85
160,245.94,8.85
160,245.94,8.85
169,232.31,10.04
155,254.19,8.23
161,244.35,8.98
160,245.94,8.85
154,255.91,8.11
160,245.94,8.85
156,252.50,8.35
161,244.35,8.98
164,239.70,9.37
162,242.78,9.11
164,239.70,9.37
163,241.23,9.24
163,241.23,9.24
164,239.70,9.37
157,250.83,8.47
172,228.08,10.46
160,245.94,8.85
160,245.94,8.85
163,241.23,9.24
161,244.35,8.98
161,244.35,8.98
160,245.94,8.85
154,255.91,8.11
154,255.91,8.11
162,242.78,9.11
160,245.94,8.85
161,244.35,8.98
163,241.23,9.24
160,245.94,8.85
157,250.83,8.47
165,238.18,9.50
161,244.35,8.98
157,250.83,8.47
161,244.35,8.98
162,242.78,9.11
160,245.94,8.85
161,244.35,8.98
161,244.35,8.98
157,250.83,8.47
162,242.78,9.11
162,242.78,9.11
160,245.94,8.85
156,252.50,8.35
156,252.50,8.35
164,239.70,9.37
161,244.35,8.98
161,244.35,8.98
161,244.35,8.98
168,233.75,9.90
165,238.18,9.50
159,247.55,8.72
166,236.69,9.63
158,249.18,8.60
158,249.18,8.60
152,259.41,7.87
152,259.41,7.87
157,250.83,8.47
152,259.41,7.87
160,245.94,8.85
157,250.83,8.47
158,249.18,8.60
156,252.50,8.35
156,252.50,8.35
158,249.18,8.60
151,261.19,7.75
157,250.83,8.47
157,250.83,8.47
153,257.65,7.99
156,252.50,8.35
156,252.50,8.35
157,250.83,8.47
156,252.50,8.35
158,249.18,8.60
158,249.18,8.60
165,238.18,9.50
157,250.83,8.47
160,245.94,8.85
157,250.83,8.47
158,249.18,8.60
153,257.65,7.99
156,252.50,8.35
156,252.50,8.35
157,250.83,8.47
154,255.91,8.11
150,263.00,7.63
155,254.19,8.23
155,254.19,8.23
150,263.00,7.63
152,259.41,7.87
155,254.19,8.23
157,250.83,8.47
155,254.19,8.23
160,245.94,8.85
155,254.19,8.23
154,255.91,8.11
149,264.83,7.51
164,239.70,9.37
156,252.50,8.35
150,263.00,7.63
154,255.91,8.11
155,254.19,8.23
150,263.00,7.63
151,261.19,7.75
150,263.00,7.63
156,252.50,8.35
149,264.83,7.51
154,255.91,8.11
155,254.19,8.23
154,255.91,8.11
154,255.91,8.11
156,252.50,8.35
154,255.91,8.11
148,266.69,7.40
153,257.65,7.99
153,257.65,7.99
152,259.41,7.87
157,250.83,8.47
162,242.78,9.11
153,257.65,7.99
156,252.50,8.35
154,255.91,8.11
149,264.83,7.51
153,257.65,7.99
154,255.91,8.11
155,254.19,8.23
157,250.83,8.47
155,254.19,8.23
157,250.83,8.47
154,255.91,8.11
154,255.91,8.11
145,272.41,7.06
154,255.91,8.11
151,261.19,7.75
153,257.65,7.99
149,264.83,7.51
154,255.91,8.11
148,266.69,7.40
152,259.41,7.87
157,250.83,8.47
158,249.18,8.60
154,255.91,8.11
149,264.83,7.51
154,255.91,8.11
157,250.83,8.47
154,255.91,8.11
156,252.50,8.35
154,255.91,8.11
152,259.41,7.87
156,252.50,8.35
154,255.91,8.11
150,263.00,7.63
153,257.65,7.99
152,259.41,7.87
157,250.83,8.47
156,252.50,8.35
152,259.41,7.87
148,266.69,7.40
155,254.19,8.23
154,255.91,8.11
155,254.19,8.23
154,255.91,8.11
149,264.83,7.51
152,259.41,7.87
155,254.19,8.23
155,254.19,8.23
156,252.50,8.35
153,257.65,7.99
155,254.19,8.23
155,254.19,8.23
156,252.50,8.35
155,254.19,8.23
155,254.19,8.23
149,264.83,7.51
153,257.65,7.99
151,261.19,7.75
153,257.65,7.99
153,257.65,7.99
154,255.91,8.11
149,264.83,7.51
148,266.69,7.40
151,261.19,7.75
153,257.65,7.99
155,254.19,8.23
369,100.98,63.36
346,108.35,54.21
331,113.72,48.72
316,119.59,43.59
311,121.67,41.95
302,125.60,39.11
289,131.70,35.22
286,133.18,34.35
282,135.21,33.22
284,134.19,33.78
268,142.80,29.45
260,147.50,27.41
262,146.30,27.91
259,148.11,27.16
256,149.96,26.43
253,151.86,25.70
247,155.79,24.29
243,158.52,23.37
249,154.46,24.75
249,154.46,24.75
237,162.78,22.04
229,168.82,20.34
233,165.75,21.18
232,166.51,20.97
226,171.19,19.72
228,169.61,20.13
230,168.04,20.54
224,172.81,19.31
224,172.81,19.31
223,173.63,19.11
223,173.63,19.11
220,176.14,18.52
219,176.99,18.32
213,182.25,17.17
219,176.99,18.32
222,174.46,18.91
215,180.47,17.55
206,188.79,15.88
215,180.47,17.55
213,182.25,17.17
214,181.36,17.36
213,182.25,17.17
206,188.79,15.88
210,185.00,16.61
209,185.93,16.43
216,179.58,17.74
203,191.72,15.35
209,185.93,16.43
208,186.88,16.24
201,193.73,15.00
215,180.47,17.55
207,187.83,16.06
206,188.79,15.88
208,186.88,16.24
203,191.72,15.35
203,191.72,15.35
205,189.76,15.70
197,197.87,14.32
203,191.72,15.35
205,189.76,15.70
201,193.73,15.00
197,197.87,14.32
201,193.73,15.00
197,197.87,14.32
196,198.93,14.15
196,198.93,14.15
196,198.93,14.15
194,201.08,13.82
190,205.53,13.16
193,202.18,13.65
191,204.40,13.32
193,202.18,13.65
192,203.28,13.49
188,207.82,12.84
200,194.75,14.83
191,204.40,13.32
190,205.53,13.16
192,203.28,13.49
192,203.28,13.49
189,206.67,13.00
193,202.18,13.65
193,202.18,13.65
193,202.18,13.65
193,202.18,13.65
185,211.35,12.37
190,205.53,13.16
189,206.67,13.00
185,211.35,12.37
189,206.67,13.00
191,204.40,13.32
189,206.67,13.00
188,207.82,12.84
192,203.28,13.49
188,207.82,12.84
188,207.82,12.84
189,206.67,13.00
196,198.93,14.15
183,213.77,12.07
188,207.82,12.84
182,215.00,11.91
197,197.87,14.32
188,207.82,12.84
182,215.00,11.91
195,200.00,13.98
187,208.98,12.69
183,213.77,12.07
187,208.98,12.69
181,216.24,11.76
183,213.77,12.07
194,201.08,13.82
189,206.67,13.00
182,215.00,11.91
181,216.24,11.76
188,207.82,12.84
188,207.82,12.84
192,203.28,13.49
183,213.77,12.07
185,211.35,12.37
185,211.35,12.37
186,210.16,12.53
180,217.50,11.61
188,207.82,12.84
180,217.50,11.61
186,210.16,12.53
184,212.55,12.22
185,211.35,12.37
191,204.40,13.32
186,210.16,12.53
183,213.77,12.07
183,213.77,12.07
181,216.24,11.76
181,216.24,11.76
181,216.24,11.76
176,222.67,11.03
183,213.77,12.07
177,221.36,11.17
177,221.36,11.17
180,217.50,11.61
190,205.53,13.16
179,218.77,11.47
180,217.50,11.61
182,215.00,11.91
196,198.93,14.15
198,196.82,14.49
189,206.67,13.00
185,211.35,12.37
185,211.35,12.37
186,210.16,12.53
185,211.35,12.37
185,211.35,12.37
188,207.82,12.84
187,208.98,12.69
181,216.24,11.76
185,211.35,12.37
187,208.98,12.69
188,207.82,12.84
186,210.16,12.53
192,203.28,13.49
177,221.36,11.17
174,225.34,10.74
180,217.50,11.61
186,210.16,12.53
185,211.35,12.37
188,207.82,12.84
186,210.16,12.53
184,212.55,12.22
193,202.18,13.65
185,211.35,12.37
181,216.24,11.76
175,224.00,10.88
178,220.06,11.32
180,217.50,11.61
180,217.50,11.61
184,212.55,12.22
184,212.55,12.22
191,204.40,13.32
180,217.50,11.61
181,216.24,11.76
182,215.00,11.91
181,216.24,11.76
176,222.67,11.03
180,217.50,11.61
180,217.50,11.61
175,224.00,10.88
182,215.00,11.91
181,216.24,11.76
176,222.67,11.03
178,220.06,11.32
185,211.35,12.37
180,217.50,11.61
175,224.00,10.88
179,218.77,11.47
180,217.50,11.61
178,220.06,11.32
180,217.50,11.61
175,224.00,10.88
184,212.55,12.22
179,218.77,11.47
181,216.24,11.76
175,224.00,10.88
178,220.06,11.32
180,217.50,11.61
174,225.34,10.74
181,216.24,11.76
173,226.71,10.60
180,217.50,11.61
181,216.24,11.76
182,215.00,11.91
178,220.06,11.32
173,226.71,10.60
173,226.71,10.60
182,215.00,11.91
178,220.06,11.32
177,221.36,11.17
181,216.24,11.76
180,217.50,11.61
181,216.24,11.76
180,217.50,11.61
173,226.71,10.60
176,222.67,11.03
180,217.50,11.61
179,218.77,11.47
185,211.35,12.37
173,226.71,10.60
182,215.00,11.91
177,221.36,11.17
178,220.06,11.32
181,216.24,11.76
180,217.50,11.61
177,221.36,11.17
178,220.06,11.32
174,225.34,10.74
176,222.67,11.03
178,220.06,11.32
175,224.00,10.88
179,218.77,11.47
172,228.08,10.46
176,222.67,11.03
177,221.36,11.17
178,220.06,11.32
178,220.06,11.32
181,216.24,11.76
176,222.67,11.03
170,230.88,10.18
178,220.06,11.32
172,228.08,10.46
176,222.67,11.03
185,211.35,12.37
173,226.71,10.60
177,221.36,11.17
177,221.36,11.17
173,226.71,10.60
180,217.50,11.61
177,221.36,11.17
176,222.67,11.03
172,228.08,10.46
175,224.00,10.88
176,222.67,11.03
176,222.67,11.03
176,222.67,11.03
172,228.08,10.46
178,220.06,11.32
176,222.67,11.03
185,211.35,12.37
176,222.67,11.03
172,228.08,10.46
177,221.36,11.17
184,212.55,12.22
172,228.08,10.46
178,220.06,11.32
178,220.06,11.32
179,218.77,11.47
177,221.36,11.17
177,221.36,11.17
177,221.36,11.17
177,221.36,11.17
182,215.00,11.91
190,205.53,13.16
177,221.36,11.17
177,221.36,11.17
178,220.06,11.32
176,222.67,11.03
179,218.77,11.47
179,218.77,11.47
183,213.77,12.07
177,221.36,11.17
177,221.36,11.17
178,220.06,11.32
172,228.08,10.46
179,218.77,11.47
173,226.71,10.60
179,218.77,11.47
172,228.08,10.46
173,226.71,10.60
175,224.00,10.88
177,221.36,11.17
176,222.67,11.03
172,228.08,10.46
187,208.98,12.69
178,220.06,11.32
180,217.50,11.61
176,222.67,11.03
179,218.77,11.47
181,216.24,11.76
177,221.36,11.17
174,225.34,10.74
184,212.55,12.22
173,226.71,10.60
177,221.36,11.17
179,218.77,11.47
177,221.36,11.17
180,217.50,11.61
182,215.00,11.91
179,218.77,11.47
177,221.36,11.17
179,218.77,11.47
180,217.50,11.61
172,228.08,10.46
173,226.71,10.60
178,220.06,11.32
178,220.06,11.32
178,220.06,11.32
176,222.67,11.03
177,221.36,11.17
176,222.67,11.03
177,221.36,11.17
180,217.50,11.61
179,218.77,11.47
171,229.47,10.32
175,224.00,10.88
179,218.77,11.47
179,218.77,11.47
172,228.08,10.46
177,221.36,11.17
180,217.50,11.61
177,221.36,11.17
190,205.53,13.16
183,213.77,12.07
187,208.98,12.69
183,213.77,12.07
177,221.36,11.17
191,204.40,13.32
182,215.00,11.91
190,205.53,13.16
183,213.77,12.07
183,213.77,12.07
182,215.00,11.91
182,215.00,11.91
182,215.00,11.91
180,217.50,11.61
184,212.55,12.22
182,215.00,11.91
178,220.06,11.32
182,215.00,11.91
185,211.35,12.37
180,217.50,11.61
178,220.06,11.32
182,215.00,11.91
185,211.35,12.37
182,215.00,11.91
180,217.50,11.61
179,218.77,11.47
185,211.35,12.37
184,212.55,12.22
183,213.77,12.07
182,215.00,11.91
179,218.77,11.47
182,215.00,11.91
184,212.55,12.22
184,212.55,12.22
182,215.00,11.91
191,204.40,13.32
182,215.00,11.91
185,211.35,12.37
179,218.77,11.47
177,221.36,11.17
183,213.77,12.07
184,212.55,12.22
182,215.00,11.91
179,218.77,11.47
183,213.77,12.07
183,213.77,12.07
185,211.35,12.37
186,210.16,12.53
185,211.35,12.37
178,220.06,11.32
184,212.55,12.22
185,211.35,12.37
186,210.16,12.53
179,218.77,11.47
183,213.77,12.07
182,215.00,11.91
183,213.77,12.07
181,216.24,11.76
188,207.82,12.84
183,213.77,12.07
189,206.67,13.00
183,213.77,12.07
184,212.55,12.22
185,211.35,12.37
193,202.18,13.65
183,213.77,12.07
181,216.24,11.76
184,212.55,12.22
183,213.77,12.07
180,217.50,11.61
184,212.55,12.22
183,213.77,12.07
183,213.77,12.07
185,211.35,12.37
182,215.00,11.91
183,213.77,12.07
182,215.00,11.91
181,216.24,11.76
178,220.06,11.32
183,213.77,12.07
183,213.77,12.07
180,217.50,11.61
178,220.06,11.32
182,215.00,11.91
179,218.77,11.47
183,213.77,12.07
181,216.24,11.76
180,217.50,11.61
183,213.77,12.07
185,211.35,12.37
184,212.55,12.22
185,211.35,12.37
183,213.77,12.07
185,211.35,12.37
182,215.00,11.91
177,221.36,11.17
183,213.77,12.07
186,210.16,12.53
186,210.16,12.53
184,212.55,12.22
184,212.55,12.22
184,212.55,12.22
181,216.24,11.76
183,213.77,12.07
192,203.28,13.49
183,213.77,12.07
182,215.00,11.91
185,211.35,12.37
180,217.50,11.61
181,216.24,11.76
182,215.00,11.91
180,217.50,11.61
183,213.77,12.07
185,211.35,12.37
183,213.77,12.07
190,205.53,13.16
185,211.35,12.37
192,203.28,13.49
183,213.77,12.07
183,213.77,12.07
179,218.77,11.47
181,216.24,11.76
184,212.55,12.22
187,208.98,12.69
184,212.55,12.22
183,213.77,12.07
183,213.77,12.07
176,222.67,11.03
184,212.55,12.22
180,217.50,11.61
184,212.55,12.22
181,216.24,11.76
189,206.67,13.00
184,212.55,12.22
176,222.67,11.03
183,213.77,12.07
181,216.24,11.76
182,215.00,11.91
178,220.06,11.32
181,216.24,11.76
189,206.67,13.00
182,215.00,11.91
182,215.00,11.91
181,216.24,11.76
181,216.24,11.76
178,220.06,11.32
182,215.00,11.91
178,220.06,11.32
179,218.77,11.47
176,222.67,11.03
187,208.98,12.69
176,222.67,11.03
191,204.40,13.32
180,217.50,11.61
177,221.36,11.17
183,213.77,12.07
179,218.77,11.47
183,213.77,12.07
181,216.24,11.76
177,221.36,11.17
181,216.24,11.76
184,212.55,12.22
177,221.36,11.17
181,216.24,11.76
183,213.77,12.07
181,216.24,11.76
181,216.24,11.76
182,215.00,11.91
182,215.00,11.91
182,215.00,11.91
185,211.35,12.37
178,220.06,11.32
179,218.77,11.47
182,215.00,11.91
183,213.77,12.07
182,215.00,11.91
184,212.55,12.22
182,215.00,11.91
177,221.36,11.17
181,216.24,11.76
183,213.77,12.07
183,213.77,12.07
184,212.55,12.22
186,210.16,12.53
180,217.50,11.61
178,220.06,11.32
180,217.50,11.61
184,212.55,12.22
182,215.00,11.91
185,211.35,12.37
184,212.55,12.22
185,211.35,12.37
181,216.24,11.76
180,217.50,11.61
180,217.50,11.61
